,Unnamed: 0,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0.1.1,MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,DateTimeUTC,Easting,Northing,Type
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367792740,2021-11-01T22:54:16,44.74004,-124.20936999999999,3.5,205.7,511.0,CAYUSE,IMO7738498,WDJ5936,30,15.0,,,,30.0,A,2021-11-01 22:54:16,404253.0426876735,4954784.127010673,Fishing
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,367792740,2021-11-01T22:53:07,44.73965,-124.20852,4.6,10.9,511.0,CAYUSE,IMO7738498,WDJ5936,30,15.0,,,,30.0,A,2021-11-01 22:53:07,404319.69479616097,4954739.805202025,Fishing
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,367792740,2021-11-01T22:42:26,44.72665,-124.20783999999999,5.1,350.3,511.0,CAYUSE,IMO7738498,WDJ5936,30,15.0,,,,30.0,A,2021-11-01 22:42:26,404352.1029279813,4953294.935040876,Fishing
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,367792740,2021-11-01T23:05:46,44.72435,-124.21165,4.8,189.0,511.0,CAYUSE,IMO7738498,WDJ5936,30,15.0,,,,30.0,A,2021-11-01 23:05:46,404046.5888824252,4953043.92952926,Fishing
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,367792740,2021-11-01T22:25:27,44.705740000000006,-124.20416000000002,5.2,322.9,511.0,CAYUSE,IMO7738498,WDJ5936,30,15.0,,,,30.0,A,2021-11-01 22:25:27,404609.1681079407,4950967.891846133,Fishing
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,367792740,2021-11-02T00:53:07,44.62595,-124.03629,0.0,4.8,511.0,CAYUSE,IMO7738498,WDJ5936,30,15.0,,,,30.0,A,2021-11-02 00:53:07,417794.76638111775,4941921.808729495,Fishing
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,367792740,2021-11-02T00:21:16,44.61083,-124.09391000000001,8.8,109.3,511.0,CAYUSE,IMO7738498,WDJ5936,30,15.0,,,,30.0,A,2021-11-02 00:21:16,413201.44145742024,4940301.971978304,Fishing
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,368038000,2021-11-06T08:48:30,45.327259999999995,-124.69068,3.8,356.5,359.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,7.0,83.0,13.0,4.7,30.0,A,2021-11-06 08:48:30,367509.4741524125,5020696.182895861,Fishing
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,368038000,2021-11-06T15:15:11,45.435590000000005,-124.72376000000001,3.3,143.5,169.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,7.0,83.0,13.0,4.7,30.0,A,2021-11-06 15:15:11,365174.9601072797,5032785.961000104,Fishing
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,368038000,2021-11-06T15:08:11,45.44093,-124.72896999999999,3.2,146.4,170.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,7.0,83.0,13.0,4.7,30.0,A,2021-11-06 15:08:11,364780.2171534677,5033387.959790603,Fishing
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,368038000,2021-11-06T15:00:11,45.44692,-124.73486000000001,3.5,144.4,170.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,7.0,83.0,13.0,4.7,30.0,A,2021-11-06 15:00:11,364333.9345333155,5034063.344920945,Fishing
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,368038000,2021-11-06T14:59:22,45.44757,-124.73546999999999,3.3,146.6,169.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,7.0,83.0,13.0,4.7,30.0,A,2021-11-06 14:59:22,364287.79187922226,5034136.586642148,Fishing
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,368038000,2021-11-06T14:57:22,45.44914,-124.73683999999999,3.2,150.8,169.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,7.0,83.0,13.0,4.7,30.0,A,2021-11-06 14:57:22,364184.42854448117,5034313.320391976,Fishing
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,368038000,2021-11-06T14:56:01,45.450359999999996,-124.73776000000001,3.5,160.7,171.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,7.0,83.0,13.0,4.7,30.0,A,2021-11-06 14:56:01,364115.4180588103,5034450.411734207,Fishing
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,368038000,2021-11-06T14:02:21,45.49917,-124.75321000000001,3.7,168.6,180.0,KODIAK ENTERPRISE,IMO7517703,WDB4540,30,7.0,83.0,13.0,4.7,30.0,A,2021-11-06 14:02:21,363025.6403883119,5039899.234791749,Fishing
