,Unnamed: 0.2,Number,Unnamed: 0.1,Unnamed: 0,mmsi,timeOfClosestApproach,lonOfClosestApproach,latOfClosestApproach,datetime,ClosestStation,Type,Length,Sequence,StartTime,EndTime,Time dec,Laser launch rate,Spatial samp,Measure length,P-value,Gauge length,Output Decimation,measurement params,measurement scheme,Detected,Comment
0,0,1,9,9,366959080,01/11/2021 18:12,-124.30724,45.17211,20211101_181204,13276,Fishing,22,1,20211101_174739.839,20211103_152609.839,5,1000,2,80640,9,30,1,2,1,,
1,1,2,15,15,477852900,01/11/2021 22:03,-124.94616,45.13595,20211101_220342,39768,Bulk carrier ,180,1,20211101_174739.840,20211103_152609.840,5,1000,2,80640,9,30,1,2,1,,
2,2,3,6,6,366396000,02/11/2021 00:49,-124.48997,45.15257,20211102_004950,20419,Cruise,45,1,20211101_174739.841,20211103_152609.841,5,1000,2,80640,9,30,1,2,1,,
3,3,4,14,14,369499000,02/11/2021 03:03,-124.80502,45.17038,20211102_030334,33534,Cargo,210,1,20211101_174739.842,20211103_152609.842,5,1000,2,80640,9,30,1,2,1,,
4,4,5,16,16,538007681,02/11/2021 07:37,-124.33875,45.17789,20211102_073733,14473,Container,262,1,20211101_174739.843,20211103_152609.843,5,1000,2,80640,9,30,1,2,1,Y,whale call ?
5,5,6,10,10,367162190,02/11/2021 08:11,-124.31147,45.17372,20211102_081111,13437,Fishing,28,1,20211101_174739.844,20211103_152609.844,5,1000,2,80640,9,30,1,2,1,Y,
6,6,7,2,2,338603000,02/11/2021 11:59,-124.10524,45.18462,20211102_115915,5454,Trawler,35,1,20211101_174739.845,20211103_152609.845,5,1000,2,80640,9,30,1,2,1,,
7,7,8,11,11,367171000,02/11/2021 12:48,-124.65682,45.16601,20211102_124806,27059,Fishing,27,1,20211101_174739.846,20211103_152609.846,5,1000,2,80640,9,30,1,2,1,,
8,8,9,7,7,366425240,02/11/2021 13:44,-124.62105,45.15395,20211102_134452,25538,Fishing,30,1,20211101_174739.847,20211103_152609.847,5,1000,2,80640,9,30,1,2,1,,
9,9,10,0,0,255613000,03/11/2021 01:24,-124.5902,45.14877,20211103_012454,24316,Cargo,180,1,20211101_174739.848,20211103_152609.848,5,1000,2,80640,9,30,1,2,1,Y,
10,10,11,13,13,368206000,03/11/2021 04:41,-124.19821,45.17543,20211103_044130,9065,Fishing,33,1,20211101_174739.849,20211103_152609.849,5,1000,2,80640,9,30,1,2,1,Y,
11,11,12,12,12,368038000,03/11/2021 06:38,-124.65434,45.1623,20211103_063801,26909,Fishing,84,1,20211101_174739.850,20211103_152609.850,5,1000,2,80640,9,30,1,2,1,,
12,12,13,8,8,366738920,03/11/2021 13:03,-124.21982,45.17482,20211103_130339,9900,Fishing,26,1,20211101_174739.851,20211103_152609.851,5,1000,2,80640,9,30,1,2,1,Y,Strong harmonic at 30Hz
13,13,14,3,3,352927000,04/11/2021 02:08,-124.6832,45.177,20211104_020842,28245,Bulk carrier ,199,2,20211103_154643.814,20211104_171343.814,5,1000,1,40384,7,10,1,4,2,,
14,14,15,4,4,357772000,04/11/2021 10:35,-124.5153,45.15184,20211104_103541,21400,Bulk carrier ,180,2,20211103_154643.815,20211104_171343.815,5,1000,1,40384,7,10,1,4,2,N,5-10 Hz Non acoustic event
15,15,16,1,1,308717000,04/11/2021 22:40,-124.52101,45.1501,20211104_224036,21630,Bulk carrier ,224,3,20211104_172518.573,20211105_140618.573,1,1000,1,19648,3,2,2,5,3,,"No Data, off end of line?"
16,16,17,5,5,366047000,05/11/2021 00:46,-124.76935,45.19197,20211105_004601,31777,Trawler,77,3,20211104_172518.574,20211105_140618.574,1,1000,1,19648,3,2,2,5,3,,
