,MMSI,Type,Length,timeOfClosestApproach,distOfClosestApproach,locationOfClosestApproach,eastingOfClosestApproach,northingOfClosestApproach,Cable,datetime
0,367426420,Fishing,24,01/11/2021 01:28,6.880010029,4693,414608.4361,5005396.719,North,20211101_012848
1,367426420,Fishing,24,01/11/2021 01:32,14.84114213,4782,414526.1933,5004232.553,South,20211101_013248
2,368049580,Towing,32,01/11/2021 07:12,21.24286373,5765,412423.7431,5005351.553,North,20211101_071240
3,368049580,Towing,32,01/11/2021 07:18,25.76228875,5934,412198.5833,5003921.124,South,20211101_071825
4,538007026,Cargo,0,01/11/2021 07:52,17.30720528,8031,407801.0157,5005134.143,North,20211101_075210
5,538007658,Cargo,180,01/11/2021 07:55,31.74082836,22327,379034.9931,5000565.494,South,20211101_075548
6,538007026,Cargo,0,01/11/2021 07:56,15.86164263,8244,407514.4082,5003467.488,South,20211101_075640
7,538007658,Cargo,180,01/11/2021 08:26,31.94873888,21433,381467.9288,5012047.501,North,20211101_082633
8,369604000,Fishing,82,01/11/2021 14:23,27.90464784,29783,364987.4349,5005389.066,South,20211101_142308
9,369604000,Fishing,82,01/11/2021 14:42,39.27263868,30160,364742.8363,5013098.833,North,20211101_144253
10,366959080,Fishing,20,01/11/2021 15:19,0.466564379,14517,394752.7488,5002834.23,South,20211101_151900
11,366959080,Fishing,20,01/11/2021 21:40,240.4751043,15595,392840.7307,5008495.725,North,20211101_214000
12,477852900,Cargo,179,01/11/2021 22:02,24.8319544,39790,346890.1154,4999672.553,South,20211101_220256
13,477852900,Cargo,179,01/11/2021 22:55,9977.995654,31517,353241.7813,5014896.61,North,20211101_225556
14,366425240,Fishing,23,02/11/2021 00:09,3.045445998,13243,397581.9151,5007637.511,North,20211102_000929
15,366396000,Passenger,45,02/11/2021 00:17,12.09973164,19104,386004.6648,5010623.223,North,20211102_001751
16,366396000,Passenger,45,02/11/2021 00:49,5.247569638,20386,382936.3613,5001121.39,South,20211102_004921
17,369499000,"Other Type, all ships of this type",210,02/11/2021 02:40,1552.300757,31517,361155.469,5011996.54,North,20211102_024046
18,369499000,"Other Type, all ships of this type",210,02/11/2021 03:01,10.04067383,33182,358489.2261,5004420.961,South,20211102_030101
19,367709050,Fishing,37,02/11/2021 07:29,25.69652367,23468,376709.7473,5000610.648,South,20211102_072942
20,538007681,Cargo,262,02/11/2021 07:35,5.119048283,14490,394808.2814,5002834.635,South,20211102_073534
21,538007681,Cargo,262,02/11/2021 07:49,29.06742306,14696,394692.21,5008308.478,North,20211102_074949
22,367162190,Fishing,26,02/11/2021 07:53,15.09522717,13114,397833.2805,5007556.221,North,20211102_075300
23,367162190,Fishing,26,02/11/2021 08:11,8.415492418,13451,396921.1389,5002945.047,South,20211102_081145
24,369493006,"Other Type, all ships of this type",14,02/11/2021 08:45,6208.881893,27750,368156.9723,5021413.122,North,20211102_084534
25,367553420,Fishing,25,02/11/2021 10:34,8350.776703,28800,363525.4715,5022087.5,North,20211102_103408
26,367171000,Fishing,27,02/11/2021 11:48,16.41282436,26791,371056.351,5015370.585,North,20211102_114821
27,338603000,Fishing,24,02/11/2021 11:53,15.36441589,5384,413198.9436,5005400.72,North,20211102_115346
28,338603000,Fishing,24,02/11/2021 11:59,19.81567068,5454,413170.3339,5004049.731,South,20211102_115916
29,367171000,Fishing,27,02/11/2021 12:48,1.913952524,27050,369766.4885,5002570.984,South,20211102_124851
30,366425240,Fishing,23,02/11/2021 13:44,1.42882629,25539,372581.0874,5001358.604,South,20211102_134459
31,367709050,Fishing,37,02/11/2021 20:33,6.803067923,21126,382077.2145,5011894.173,North,20211102_203327
32,255613000,Cargo,180,03/11/2021 01:25,15.29725432,24313,375007.7049,5000758.953,South,20211103_012502
33,255613000,Cargo,180,03/11/2021 01:57,8.443863581,22929,378565.3061,5012996.839,North,20211103_015732
34,368206000,Fishing,28,03/11/2021 04:33,20.47184734,8958,405914.1435,5005091.377,North,20211103_043334
35,368206000,Fishing,28,03/11/2021 04:40,7.431035928,9058,405859.3671,5003362.314,South,20211103_044034
36,368293000,Fishing,114,03/11/2021 09:21,0.833626406,34591,356439.1184,5002415.37,South,20211103_092159
37,366738920,Fishing,21,03/11/2021 13:04,27.71310416,9889,404167.9219,5003251.343,South,20211103_130418
38,366738920,Fishing,21,03/11/2021 13:12,6.427819708,9718,404371.134,5005282.456,North,20211103_131248
39,368293000,Fishing,114,03/11/2021 15:20,5391.241408,31517,357202.7535,5011809.212,North,20211103_152059
40,244149000,Cargo,156,03/11/2021 23:35,44.19598528,20411,382875.9653,5001160.532,South,20211103_233518
41,244149000,Cargo,156,03/11/2021 23:56,42.97140117,19893,384486.8851,5011164.619,North,20211103_235633
42,352927000,Cargo,200,04/11/2021 02:08,17.84723464,28241,367697.4464,5003836.495,South,20211104_020817
43,352927000,Cargo,200,04/11/2021 02:38,21.71191661,26544,371555.4072,5015278.34,North,20211104_023832
44,368038000,Fishing,83,04/11/2021 05:17,0.964287985,25717,372229.5517,5001445.707,South,20211104_051746
45,357772000,Cargo,181,04/11/2021 10:35,10.07668656,21443,380817.0736,5000726.962,South,20211104_103510
46,357772000,Cargo,181,04/11/2021 11:00,1.857927527,20097,384078.7748,5011250.925,North,20211104_110040
47,308717000,Cargo,224,04/11/2021 22:40,30.62100611,21646,380415.0867,5000632.172,South,20211104_224016
48,308717000,Cargo,224,04/11/2021 23:11,4.357170562,20928,382459.9366,5011760.626,North,20211104_231146
49,366047000,Fishing,87,05/11/2021 00:47,5.123893852,31789,361006.5507,5005696.866,South,20211105_004725
50,367133160,Towing,37,05/11/2021 07:46,14.75654323,12451,398960.5243,5002975.572,South,20211105_074626
51,367133160,Towing,37,05/11/2021 08:04,15.71887398,12367,399279.0755,5007079.291,North,20211105_080411
52,366047000,Fishing,87,05/11/2021 10:20,1.707049737,25065,374411.7111,5014333.194,North,20211105_102040
53,354739000,Cargo,180,05/11/2021 14:24,10.24462028,45517,335552.1272,5001775.952,South,20211105_142402
54,538008032,Cargo,190,05/11/2021 16:06,25.7194646,21007,382300.0657,5011788.929,North,20211105_160624
55,538008032,Cargo,190,05/11/2021 16:41,27.57229878,22444,378795.4066,5000511.45,South,20211105_164109
56,368038000,Fishing,83,05/11/2021 16:49,0.73792808,21561,381228.1361,5012157.489,North,20211105_164901
57,257842000,Cargo,204,06/11/2021 01:04,27.66145085,24840,374859.3059,5014217.491,North,20211106_010446
58,257842000,Cargo,204,06/11/2021 01:41,43.02252472,23869,375892.8086,5000646.093,South,20211106_014116
59,259976000,Cargo,199,06/11/2021 09:11,30.79799609,20342,383027.8686,5001112.223,South,20211106_091121
60,259976000,Cargo,199,06/11/2021 09:31,43.68585752,19816,384637.3304,5011117.447,North,20211106_093151
