"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2021/10/31","00:00","4.525","-","4.67"
"2021/10/31","00:06","4.589","-","4.75"
"2021/10/31","00:12","4.655","-","4.81"
"2021/10/31","00:18","4.721","-","4.89"
"2021/10/31","00:24","4.788","-","4.97"
"2021/10/31","00:30","4.855","-","5.05"
"2021/10/31","00:36","4.923","-","5.13"
"2021/10/31","00:42","4.992","-","5.21"
"2021/10/31","00:48","5.061","-","5.29"
"2021/10/31","00:54","5.131","-","5.37"
"2021/10/31","01:00","5.201","-","5.44"
"2021/10/31","01:06","5.271","-","5.53"
"2021/10/31","01:12","5.341","-","5.6"
"2021/10/31","01:18","5.411","-","5.67"
"2021/10/31","01:24","5.482","-","5.75"
"2021/10/31","01:30","5.552","-","5.82"
"2021/10/31","01:36","5.622","-","5.9"
"2021/10/31","01:42","5.692","-","5.98"
"2021/10/31","01:48","5.761","-","6.06"
"2021/10/31","01:54","5.83","-","6.14"
"2021/10/31","02:00","5.897","-","6.2"
"2021/10/31","02:06","5.964","-","6.28"
"2021/10/31","02:12","6.029","-","6.36"
"2021/10/31","02:18","6.093","-","6.42"
"2021/10/31","02:24","6.156","-","6.49"
"2021/10/31","02:30","6.216","-","6.56"
"2021/10/31","02:36","6.274","-","6.63"
"2021/10/31","02:42","6.33","-","6.67"
"2021/10/31","02:48","6.383","-","6.74"
"2021/10/31","02:54","6.433","-","6.77"
"2021/10/31","03:00","6.48","-","6.82"
"2021/10/31","03:06","6.523","-","6.87"
"2021/10/31","03:12","6.563","-","6.9"
"2021/10/31","03:18","6.598","-","6.93"
"2021/10/31","03:24","6.629","-","6.94"
"2021/10/31","03:30","6.655","-","6.98"
"2021/10/31","03:36","6.676","-","7"
"2021/10/31","03:42","6.692","-","7"
"2021/10/31","03:48","6.703","-","7.01"
"2021/10/31","03:54","6.708","-","6.97"
"2021/10/31","04:00","6.707","-","6.97"
"2021/10/31","04:06","6.701","-","6.95"
"2021/10/31","04:12","6.688","-","6.94"
"2021/10/31","04:18","6.669","-","6.89"
"2021/10/31","04:24","6.644","-","6.85"
"2021/10/31","04:30","6.613","-","6.82"
"2021/10/31","04:36","6.575","-","6.75"
"2021/10/31","04:42","6.531","-","6.7"
"2021/10/31","04:48","6.481","-","6.67"
"2021/10/31","04:54","6.424","-","6.59"
"2021/10/31","05:00","6.362","-","6.52"
"2021/10/31","05:06","6.294","-","6.45"
"2021/10/31","05:12","6.22","-","6.37"
"2021/10/31","05:18","6.141","-","6.29"
"2021/10/31","05:24","6.056","-","6.21"
"2021/10/31","05:30","5.967","-","6.15"
"2021/10/31","05:36","5.873","-","6.06"
"2021/10/31","05:42","5.775","-","5.98"
"2021/10/31","05:48","5.673","-","5.89"
"2021/10/31","05:54","5.568","-","5.8"
"2021/10/31","06:00","5.459","-","5.72"
"2021/10/31","06:06","5.347","-","5.61"
"2021/10/31","06:12","5.233","-","5.53"
"2021/10/31","06:18","5.116","-","5.4"
"2021/10/31","06:24","4.998","-","5.3"
"2021/10/31","06:30","4.878","-","5.17"
"2021/10/31","06:36","4.757","-","5.06"
"2021/10/31","06:42","4.634","-","4.94"
"2021/10/31","06:48","4.511","-","4.83"
"2021/10/31","06:54","4.386","-","4.69"
"2021/10/31","07:00","4.262","-","4.56"
"2021/10/31","07:06","4.137","-","4.43"
"2021/10/31","07:12","4.012","-","4.31"
"2021/10/31","07:18","3.887","-","4.2"
"2021/10/31","07:24","3.762","-","4.1"
"2021/10/31","07:30","3.637","-","3.98"
"2021/10/31","07:36","3.513","-","3.84"
"2021/10/31","07:42","3.389","-","3.72"
"2021/10/31","07:48","3.266","-","3.6"
"2021/10/31","07:54","3.143","-","3.46"
"2021/10/31","08:00","3.021","-","3.36"
"2021/10/31","08:06","2.901","-","3.25"
"2021/10/31","08:12","2.781","-","3.14"
"2021/10/31","08:18","2.663","-","3.02"
"2021/10/31","08:24","2.547","-","2.91"
"2021/10/31","08:30","2.433","-","2.78"
"2021/10/31","08:36","2.321","-","2.67"
"2021/10/31","08:42","2.212","-","2.55"
"2021/10/31","08:48","2.106","-","2.43"
"2021/10/31","08:54","2.003","-","2.33"
"2021/10/31","09:00","1.904","-","2.24"
"2021/10/31","09:06","1.809","-","2.13"
"2021/10/31","09:12","1.718","-","2.04"
"2021/10/31","09:18","1.633","-","1.95"
"2021/10/31","09:24","1.553","-","1.89"
"2021/10/31","09:30","1.479","-","1.8"
"2021/10/31","09:36","1.411","-","1.73"
"2021/10/31","09:42","1.35","-","1.68"
"2021/10/31","09:48","1.295","-","1.62"
"2021/10/31","09:54","1.248","-","1.56"
"2021/10/31","10:00","1.209","-","1.5"
"2021/10/31","10:06","1.177","-","1.43"
"2021/10/31","10:12","1.152","-","1.4"
"2021/10/31","10:18","1.136","-","1.39"
"2021/10/31","10:24","1.128","-","1.39"
"2021/10/31","10:30","1.128","-","1.38"
"2021/10/31","10:36","1.135","-","1.37"
"2021/10/31","10:42","1.151","-","1.36"
"2021/10/31","10:48","1.174","-","1.39"
"2021/10/31","10:54","1.205","-","1.42"
"2021/10/31","11:00","1.244","-","1.44"
"2021/10/31","11:06","1.289","-","1.45"
"2021/10/31","11:12","1.341","-","1.49"
"2021/10/31","11:18","1.399","-","1.55"
"2021/10/31","11:24","1.464","-","1.59"
"2021/10/31","11:30","1.534","-","1.66"
"2021/10/31","11:36","1.61","-","1.72"
"2021/10/31","11:42","1.691","-","1.81"
