,Unnamed: 0,Station,Length,Easting,Northing,LON,LAT,Depth
0,0,942,0.0,424042.51924136217,5005878.696649777,-123.96715,45.2023,7.0664978
1,1,943,2.3978314185425194,424040.1577962524,5005878.28050977,-123.96718,45.202296,6.9225327
2,2,944,1.6325109233561432,424038.5817248678,5005877.854961999,-123.9672,45.202292,6.8146111
3,3,945,2.3978317623808163,424036.2202791514,5005877.438823453,-123.96723,45.202288,6.6444971
4,4,946,1.6325111473413716,424034.6442072723,5005877.013276654,-123.96725,45.202284,6.5235484
5,5,947,2.3797473664396227,424032.2840919087,5005876.708230758,-123.96728,45.202281,6.3403414
6,6,948,1.6325113439444316,424030.7080195624,5005876.282684935,-123.9673,45.202277,6.2141313
7,7,949,2.39783240410217,424028.34657268005,5005875.866549308,-123.96733,45.202273,6.0271668
8,8,950,1.6325115677444826,424026.77049983916,5005875.441004459,-123.96735,45.202269,5.9034825
9,9,951,2.397832748047746,424024.4090523502,5005875.024870292,-123.96738,45.202265,5.7254327
10,10,952,1.6325117898773573,424022.8329790167,5005874.599326415,-123.9674,45.202261,5.6117494
11,11,953,2.3978330877730025,424020.47153092513,5005874.183193711,-123.96743,45.202257,5.4537704
12,12,954,1.632512015776018,424018.8954570951,5005873.757650806,-123.96745,45.202253,5.3573852
13,13,955,2.379748705239626,424016.5353396269,5005873.452610749,-123.96748,45.20225,5.230605
14,14,956,2.397833562276606,424014.17389064207,5005873.036480379,-123.96751,45.202246,5.127253
15,15,957,1.6325123254103981,424012.59781607013,5005872.610939034,-123.96753,45.202242,5.0732972
16,16,958,2.3978339065489997,424010.2363664787,5005872.194810123,-123.96756,45.202238,5.0180696
17,17,959,1.632512547116447,424008.6602914141,5005871.769269752,-123.96758,45.202234,4.9997342
18,18,960,2.3978342466010742,424006.2988412201,5005871.353142302,-123.96761,45.20223,5.0030698
19,19,961,1.6325127725320905,424004.722765659,5005870.927602905,-123.96763,45.202226,5.027166
20,20,962,2.397834590552203,424002.36131485837,5005870.511476914,-123.96766,45.202222,5.0984875
21,21,963,1.6058323282182128,424000.7865703072,5005870.197029677,-123.96768,45.202219,5.1679757
22,22,964,2.3978348895356842,423998.4251189452,5005869.78090515,-123.96771,45.202215,5.302041
23,23,965,1.6325131941034068,423996.8490424224,5005869.355367698,-123.96773,45.202211,5.4087004
24,24,966,2.3978352320819583,423994.4875904557,5005868.939244628,-123.96776,45.202207,5.5931546
25,25,967,2.397835404899748,423992.12613815925,5005868.523122434,-123.96779,45.202203,5.8022732
26,26,968,1.6325135302682325,423990.55006086704,5005868.097586541,-123.96781,45.202199,5.9521824
27,27,969,2.3978357487501465,423988.18860796397,5005867.681465808,-123.96784,45.202195,6.1930677
28,28,970,1.6325137542619679,423986.6125301772,5005867.2559308885,-123.96786,45.202191,6.3601083
29,29,971,2.379751380504864,423984.2524084644,5005866.950902802,-123.96789,45.202188,6.6228985
30,30,972,1.632513951116267,423982.67633021047,5005866.525368857,-123.96791,45.202184,6.7999318
31,31,973,2.3978363905529343,423980.3148761414,5005866.109251043,-123.96794,45.20218,7.0715447
32,32,974,1.632514175167591,423978.73879739287,5005865.68371807,-123.96796,45.202176,7.2515037
33,33,975,2.397836734348985,423976.3773427172,5005865.267601717,-123.96799,45.202172,7.5225971
34,34,976,1.6325143984351405,423974.80126347416,5005864.84206972,-123.96801,45.202168,7.6986965
35,35,977,2.3978370743522595,423972.4398081959,5005864.425954827,-123.96804,45.202164,7.9590373
36,36,978,1.6325146210627337,423970.8637284603,5005864.0004238,-123.96806,45.20216,8.1246161
37,37,979,2.3797527192902814,423968.5036046427,5005863.695401554,-123.96809,45.202157,8.3654822
38,38,980,2.397837548932419,423966.14214847115,5005863.279288996,-123.96812,45.202153,8.5874749
39,39,981,1.6325149323223471,423964.56606799166,5005862.85375953,-123.96814,45.202149,8.7222422
40,40,982,2.3978378928936563,423962.2046112135,5005862.437648432,-123.96817,45.202145,8.9070005
41,41,983,1.6325151561903168,423960.6285302394,5005862.01211994,-123.96819,45.202141,9.0148219
42,42,984,2.3978382329578203,423958.26707285864,5005861.596010302,-123.96822,45.202137,9.1743237
43,43,985,1.632515377736996,423956.690991392,5005861.170482784,-123.96824,45.202133,9.2781946
