,Station,Length,Easting,Northing,LON,LAT,Depth
0,1,0,424042.5192,5005878.697,-123.96715,45.2023,7.07
1,2,2.038345,424040.5712,5005878.097,-123.9671747,45.20229439,6.97
2,3,4.07669,424038.6231,5005877.497,-123.9671994,45.20228878,6.81
3,4,6.115035,424036.6751,5005876.897,-123.9672241,45.20228317,6.69
4,5,8.153380001,424034.727,5005876.297,-123.9672488,45.20227756,6.52
5,6,10.191725,424032.7789,5005875.697,-123.9672735,45.20227195,6.39
6,7,12.23007,424030.8309,5005875.097,-123.9672983,45.20226634,6.2
7,8,14.268415,424028.8828,5005874.497,-123.967323,45.20226073,6.08
8,9,16.30676,424026.9348,5005873.897,-123.9673477,45.20225512,5.89
9,10,18.345105,424024.9867,5005873.297,-123.9673724,45.20224951,5.77
10,11,20.38345,424023.0386,5005872.697,-123.9673971,45.2022439,5.6
11,12,22.421795,424021.0906,5005872.097,-123.9674218,45.20223829,5.49
12,13,24.46014,424019.1425,5005871.498,-123.9674465,45.20223268,5.35
13,14,26.498485,424017.1945,5005870.898,-123.9674712,45.20222707,5.26
14,15,28.53683,424015.2464,5005870.298,-123.9674959,45.20222147,5.15
15,16,30.575175,424013.2983,5005869.698,-123.9675206,45.20221586,5.09
16,17,32.61352,424011.3503,5005869.098,-123.9675453,45.20221025,5.02
17,18,34.651865,424009.4022,5005868.498,-123.9675701,45.20220464,5
18,19,36.69021,424007.4542,5005867.898,-123.9675948,45.20219903,4.99
19,20,38.728555,424005.5061,5005867.298,-123.9676195,45.20219342,5
20,21,40.7669,424003.5581,5005866.698,-123.9676442,45.20218781,5.03
21,22,42.805245,424001.61,5005866.098,-123.9676689,45.2021822,5.11
22,23,44.84359,423999.6619,5005865.498,-123.9676936,45.20217659,5.19
23,24,46.881935,423997.7139,5005864.898,-123.9677183,45.20217098,5.32
24,25,48.92028,423995.7658,5005864.298,-123.967743,45.20216537,5.43
25,26,50.958625,423993.8178,5005863.698,-123.9677677,45.20215976,5.62
26,27,52.99697,423991.8697,5005863.099,-123.9677924,45.20215415,5.75
27,28,55.035315,423989.9216,5005862.499,-123.9678171,45.20214854,5.98
28,29,57.07366,423987.9736,5005861.899,-123.9678419,45.20214293,6.13
29,30,59.112005,423986.0255,5005861.299,-123.9678666,45.20213732,6.38
30,31,61.15035,423984.0775,5005860.699,-123.9678913,45.20213171,6.55
31,32,63.188695,423982.1294,5005860.099,-123.967916,45.2021261,6.81
32,33,65.22704,423980.1813,5005859.499,-123.9679407,45.20212049,6.99
33,34,67.265385,423978.2333,5005858.899,-123.9679654,45.20211488,7.26
34,35,69.30373001,423976.2852,5005858.299,-123.9679901,45.20210927,7.44
35,36,71.34207501,423974.3372,5005857.699,-123.9680148,45.20210366,7.61
36,37,73.38042001,423972.3891,5005857.099,-123.9680395,45.20209805,7.87
37,38,75.41876501,423970.441,5005856.499,-123.9680642,45.20209244,8.04
38,39,77.45711001,423968.493,5005855.899,-123.9680889,45.20208683,8.28
39,40,79.49545501,423966.5449,5005855.299,-123.9681137,45.20208122,8.43
40,41,81.53380001,423964.5969,5005854.699,-123.9681384,45.20207561,8.65
41,42,83.57214501,423962.6488,5005854.1,-123.9681631,45.20207,8.78
42,43,85.61049001,423960.7007,5005853.5,-123.9681878,45.20206439,8.95
43,44,87.64883501,423958.7527,5005852.9,-123.9682125,45.20205878,9.06
44,45,89.68718001,423956.8046,5005852.3,-123.9682372,45.20205317,9.23
45,46,91.72552501,423954.8566,5005851.7,-123.9682619,45.20204756,9.33
46,47,93.76387001,423952.9085,5005851.1,-123.9682866,45.20204195,9.5
47,48,95.80221501,423950.9604,5005850.5,-123.9683113,45.20203634,9.6
48,49,97.84056001,423949.0124,5005849.9,-123.968336,45.20203073,9.75
49,50,99.87890501,423947.0643,5005849.3,-123.9683607,45.20202512,9.85
50,51,101.91725,423945.1163,5005848.7,-123.9683855,45.20201951,10
51,52,103.955595,423943.1682,5005848.1,-123.9684102,45.2020139,10.09
52,53,105.99394,423941.2201,5005847.5,-123.9684349,45.20200829,10.18
53,54,108.032285,423939.2721,5005846.9,-123.9684596,45.20200268,10.3
54,55,110.07063,423937.324,5005846.3,-123.9684843,45.20199707,10.38
55,56,112.108975,423935.376,5005845.701,-123.968509,45.20199146,10.5
56,57,114.14732,423933.4279,5005845.101,-123.9685337,45.20198585,10.57
57,58,116.185665,423931.4798,5005844.501,-123.9685584,45.20198025,10.66
58,59,118.22401,423929.5318,5005843.901,-123.9685831,45.20197464,10.72
59,60,120.262355,423927.5837,5005843.301,-123.9686078,45.20196903,10.8
60,61,122.3007,423925.6357,5005842.701,-123.9686325,45.20196342,10.85
61,62,124.339045,423923.6876,5005842.101,-123.9686573,45.20195781,10.91
62,63,126.37739,423921.7396,5005841.501,-123.968682,45.2019522,10.94
63,64,128.415735,423919.7915,5005840.901,-123.9687067,45.20194659,10.98
64,65,130.45408,423917.8434,5005840.301,-123.9687314,45.20194098,11
65,66,132.492425,423915.8954,5005839.701,-123.9687561,45.20193537,11.03
