,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,time,LAT,LON,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource,Unnamed: 22,Unnamed: 23,Easting,Northing
0,0,0,0,0,0,0,2021-11-05T17:52:52.920Z,40.2595,-124.2633333,20.63,2.37,md,26.0,81.0,0.003416,0.06,nc,nc73649220,2021-11-13T03:18:11.068Z,"8km SSE of Petrolia, CA",earthquake,0.4,0.17,0.099,20,reviewed,nc,nc,,,392570.116686462,4457325.300326843
1,1,1,1,1,1,1,2021-11-05T17:22:59.570Z,46.85266667,-121.7591667,1.95,0.27,ml,10.0,101.0,0.02326,0.06,uw,uw61786482,2021-11-05T22:12:44.440Z,"23 km ENE of Ashford, Washington",earthquake,0.44,0.57,0.122368989,4,reviewed,uw,uw,,,594593.6044250393,5189539.078912769
2,2,2,2,2,2,2,2021-11-05T15:27:43.812Z,39.7441,-120.0657,9.7,1.1,ml,12.0,92.28,0.156,0.1252,nn,nn00827477,2021-11-06T02:36:58.560Z,"9 km SE of Chilcoot-Vinton, California",earthquake,,2.3,0.17,7,reviewed,nn,nn,,,751423.7108709646,4403473.696049413
3,3,3,3,3,3,3,2021-11-05T14:57:37.336Z,39.3975,-120.3919,9.0,0.5,ml,5.0,284.95,0.072,0.0522,nn,nn00827525,2021-11-06T02:37:38.426Z,"8 km N of Soda Springs, California",earthquake,,2.0,0.42,3,reviewed,nn,nn,,,724586.1117069774,4364134.631683302
4,4,4,4,4,4,4,2021-11-05T09:20:33.485Z,41.0877,-116.4526,0.0,0.9,ml,7.0,316.93,0.086,0.216,nn,nn00827518,2021-11-06T02:37:32.961Z,"50 km NW of Carlin, Nevada",earthquake,,0.0,0.32,6,reviewed,nn,nn,,,1050079.3002682861,4569197.230732411
5,5,5,5,5,5,5,2021-11-05T09:11:25.264Z,41.0912,-116.4358,0.0,2.2,ml,8.0,248.27,0.082,0.2151,nn,nn00827517,2021-11-06T02:37:31.941Z,"50 km NW of Carlin, Nevada",earthquake,,0.0,0.34,6,reviewed,nn,nn,,,1051462.1705258903,4569692.78559675
6,6,6,6,6,6,6,2021-11-05T08:59:54.670Z,40.1805,-119.8132,0.0,1.0,ml,3.0,226.26,0.063,0.0777,nn,nn00827523,2021-11-06T02:37:36.059Z,"27 km E of Herlong, California",earthquake,,0.0,0.0,1,reviewed,nn,nn,,,771330.37935182,4452662.488726217
7,7,7,7,7,7,7,2021-11-05T02:07:38.340Z,46.34616667,-122.395,12.42,1.0,ml,10.0,83.0,0.0999,0.09,uw,uw61786427,2021-11-05T03:58:43.080Z,"21 km SSE of Mossyrock, Washington",earthquake,0.51,1.03,0.053492798,5,reviewed,uw,uw,,,546553.5098343005,5132687.987438209
8,8,8,8,8,8,8,2021-11-05T00:22:05.660Z,44.25383333,-121.324,-1.5,1.02,md,4.0,249.0,0.08546,0.01,uw,uw61786417,2021-11-05T03:47:20.200Z,"11 km N of Tumalo, Oregon",explosion,2.92,31.61,0.005114839,3,reviewed,uw,uw,,,633798.1382784956,4901431.985730349
9,9,9,9,9,9,9,2021-11-04T23:24:28.860Z,40.7286667,-122.1515,6.88,1.79,md,15.0,64.0,0.08972,0.13,nc,nc73648780,2021-11-05T17:39:12.382Z,"12km NE of Bella Vista, CA",earthquake,0.39,0.84,0.132,14,reviewed,nc,nc,,,571652.3798829474,4508983.391078933
